oracle_rank,name,oracle,direct_dependents,dependents_rank
1,libc,2311.3404,4330,14
2,unicode-ident,1941.0073,6,3304
3,proc-macro2,1940.6223,3392,17
4,quote,1894.3308,4135,16
5,syn,1863.8939,4202,15
6,cfg-if,1341.0088,835,52
7,serde,1172.4571,16012,1
8,num-traits,998.9754,2040,27
9,bitflags,928.0599,1628,32
10,lazy_static,849.9914,5033,9
11,log,772.4898,9345,3
12,winapi-i686-pc-windows-gnu,718.1164,3,5746
13,winapi-x86_64-pc-windows-gnu,718.1064,3,5746
14,winapi,717.2064,1404,37
15,rand_core,714.1033,377,100
16,rand,643.8447,5255,6
17,byteorder,629.2541,2350,24
18,hashbrown,530.3416,326,118
19,itoa,528.5122,124,303
20,ryu,491.4366,59,526
21,num-integer,489.0731,172,231
22,thiserror,465.5937,5958,5
23,thiserror-impl,465.5587,2,7676
24,regex-syntax,459.6889,63,494
25,regex,452.1030,4408,13
26,serde_json,441.8306,10589,2
27,indexmap,439.2076,687,63
28,memchr,427.9807,303,131
29,pin-project-lite,415.1928,234,175
30,once_cell,319.3670,1625,33
31,bytes,318.5525,3122,19
32,futures-core,310.7137,352,109
33,textwrap,301.3951,139,281
34,either,300.0278,388,98
35,os_str_bytes,292.0748,22,1099
36,clap,289.1603,6655,4
37,clap_lex,289.1388,2,7676
38,fnv,278.4840,389,97
39,nb,276.1816,273,145
40,anyhow,273.2888,4674,11
41,smallvec,271.0083,698,62
42,pin-utils,270.3808,86,394
43,embedded-hal,269.5066,702,61
44,typenum,264.5690,183,222
45,futures-task,260.6465,16,1421
46,futures-util,257.9074,808,54
47,chrono,252.9585,4755,10
48,tokio,242.1357,5107,8
49,futures-channel,236.1077,118,314
50,base64,229.8083,1996,29
51,redox_syscall,216.4919,25,1001
52,futures-sink,213.9349,63,494
53,percent-encoding,209.6971,472,83
54,scopeguard,202.3553,106,338
55,hermit-abi,195.3877,3,5746
56,generic-array,193.2610,245,167
57,tinyvec,191.8317,46,638
58,serde_derive,187.3684,4413,12
59,itertools,183.0833,2692,21
60,matches,182.2214,73,442
61,windows_aarch64_msvc,180.4376,2,7676
62,windows_i686_gnu,180.4126,2,7676
63,windows_i686_msvc,180.3876,2,7676
64,windows_x86_64_gnu,180.3526,2,7676
65,vcell,180.3244,605,69
66,windows_x86_64_msvc,180.3226,2,7676
67,unicode-normalization,177.7820,102,343
68,minimal-lexical,177.7489,1,11797
69,nom,177.3289,1103,43
70,tracing-core,176.4247,74,436
71,futures-io,176.3853,76,426
72,paste,172.9189,492,79
73,tracing,171.6200,1558,34
74,num-complex,165.3967,155,260
75,form_urlencoded,164.6686,40,715
76,unicode-bidi,163.4727,9,2348
77,num-rational,162.2329,96,357
78,idna,161.0145,39,733
79,crypto-common,160.1678,9,2348
80,failure,160.0439,1788,30
81,windows-sys,158.4010,41,698
82,url,158.3138,3034,20
83,futures,158.2322,5238,7
84,heck,157.4064,373,101
85,wasi,157.1453,14,1605
86,digest,147.5446,372,102
87,http,147.4936,1551,35
88,crossbeam-utils,146.6853,197,208
89,num_threads,146.0739,2,7676
