oracle_rank,name,oracle,direct_dependents,dependents_rank
1,gcc-14-base,4538.2758,129,198
2,libc6,4533.2808,22880,1
2,libgcc-s1,4533.2808,6881,4
4,zlib1g,1283.3513,2496,7
5,libstdc++6,942.3717,7872,2
6,libgmp10,836.9041,2102,8
7,libzstd1,715.5701,1041,13
8,libbz2-1.0,660.1983,264,80
9,libdb5.3t64,565.8522,86,313
10,libcrypt1,549.0767,176,139
11,libssl3t64,527.0521,915,16
11,openssl-provider-legacy,527.0521,1,16422
13,libjs-jquery,512.2588,830,19
14,debconf,484.1083,671,28
15,libffi8,460.0442,142,180
16,libpcre2-8-0,453.6320,206,109
17,libtinfo6,453.2065,560,35
18,libselinux1,424.3740,143,179
19,liblzma5,420.5788,138,184
20,perl-base,380.3616,10,2896
21,libcap2,304.7882,127,199
22,libmd0,304.2291,20,1435
23,libgdbm6t64,303.4651,42,695
24,libperl5.40,296.8720,46,618
25,perl-modules-5.40,296.8470,2,11119
26,libgdbm-compat4t64,296.1606,6,4529
27,perl,296.0096,5179,5
28,libexpat1,278.2018,194,123
29,libjs-underscore,273.8915,85,317
30,libacl1,264.7699,83,328
31,libncursesw6,261.9003,174,142
32,libjs-sphinxdoc,259.4324,1454,9
33,libuuid1,250.8902,163,156
34,libsqlite3-0,240.3908,414,44
35,libsystemd0,230.1032,293,66
36,libreadline8t64,220.9244,286,71
37,readline-common,218.5444,5,5417
38,tzdata,210.7514,37,781
39,dpkg,200.3523,133,193
40,tar,198.2321,7,3967
41,netbase,195.4905,98,274
42,emacsen-common,194.3495,458,39
43,libatomic1,185.8219,27,1086
44,libblkid1,184.9311,57,488
45,libmount1,182.3158,30,981
46,libxml2,177.7849,622,32
47,media-types,175.5846,20,1435
48,libpython3.13-stdlib,170.3186,5,5417
49,libbrotli1,168.5170,41,706
50,libpython3.13-minimal,168.3540,2,11119
51,python3,168.1302,7605,3
52,libglib2.0-0t64,167.2781,2793,6
53,python3.13,166.9966,33,880
54,libpython3-stdlib,166.8565,1,16422
55,python3-minimal,166.8515,1,16422
56,python3.13-minimal,165.9926,3,8288
57,libxcb1,156.7123,200,117
58,libxau6,153.6262,27,1086
59,libxdmcp6,153.3133,14,2110
60,libx11-6,144.8891,1328,12
61,dh-elpa-helper,144.0194,413,45
62,libudev1,142.9859,215,96
63,libx11-data,142.2067,2,11119
64,init-system-helpers,132.4843,702,23
65,libpng16-16t64,129.5285,520,36
66,libcom-err2,128.3619,70,387
67,libgomp1,126.9247,428,41
68,libnettle8t64,125.2067,92,288
69,libgssapi-krb5-2,125.0258,90,294
70,gcc-14-cross-base-mipsen,124.3292,368,50
71,libkrb5support0,121.8838,15,1961
72,libkrb5-3,121.8343,84,323
73,libk5crypto3,121.7104,31,938
74,libbsd0,120.1349,276,76
75,libkeyutils1,119.6100,22,1317
76,gcc-14-cross-base-ports,118.9751,278,75
77,libhogweed6t64,117.8204,45,637
78,libicu76,111.3597,197,120
79,libunistring5,110.9561,31,938
80,golang-golang-x-sys-dev,109.5908,179,133
81,libxext6,107.8446,323,58
