dataset,depth,seed,factor,cls,p
moons,1,0,4.0,0,0.0038059
moons,1,0,4.0,1,0
moons,1,0,2.0,0,0.000487924
moons,1,0,2.0,1,0.00059755
moons,1,0,1.0,0,0
moons,1,0,1.0,1,0
moons,1,0,0.5,0,3.03486e-05
moons,1,0,0.5,1,0
moons,1,0,0.25,0,3.80555e-06
moons,1,0,0.25,1,9.37137e-06
moons,1,0,0.125,0,1.90275e-06
moons,1,0,0.125,1,0
moons,1,1,4.0,0,0.00170068
moons,1,1,4.0,1,0.00203252
moons,1,1,2.0,0,0.000436777
moons,1,1,2.0,1,0
moons,1,1,1.0,0,0
moons,1,1,1.0,1,0
moons,1,1,0.5,0,2.71297e-05
moons,1,1,0.5,1,3.2281e-05
moons,1,1,0.25,0,6.78265e-06
moons,1,1,0.25,1,0
moons,1,1,0.125,0,8.466e-07
moons,1,1,0.125,1,0
moons,1,2,4.0,0,0.000831947
moons,1,2,4.0,1,0
moons,1,2,2.0,0,0
moons,1,2,2.0,1,0
moons,1,2,1.0,0,0.000106191
moons,1,2,1.0,1,0
moons,1,2,0.5,0,2.63727e-05
moons,1,2,0.5,1,0
moons,1,2,0.25,0,3.30597e-06
moons,1,2,0.25,1,0
moons,1,2,0.125,0,0
moons,1,2,0.125,1,0
moons,1,3,4.0,0,0.00160643
moons,1,3,4.0,1,0
moons,1,3,2.0,0,0.000204792
moons,1,3,2.0,1,0
moons,1,3,1.0,0,0.00010248
moons,1,3,1.0,1,0
moons,1,3,0.5,0,1.28154e-05
moons,1,3,0.5,1,0
moons,1,3,0.25,0,6.38963e-06
moons,1,3,0.25,1,0
moons,1,3,0.125,0,7.99839e-07
moons,1,3,0.125,1,9.73444e-07
moons,1,4,4.0,0,0.00184843
moons,1,4,4.0,1,0
moons,1,4,2.0,0,0.000674916
moons,1,4,2.0,1,0
moons,1,4,1.0,0,0.000112435
moons,1,4,1.0,1,0
moons,1,4,0.5,0,2.80994e-05
moons,1,4,0.5,1,0
moons,1,4,0.25,0,3.51288e-06
moons,1,4,0.25,1,0
moons,1,4,0.125,0,8.79538e-07
moons,1,4,0.125,1,0
moons,1,5,4.0,0,0.000769823
moons,1,5,4.0,1,0
moons,1,5,2.0,0,0
moons,1,5,2.0,1,0
moons,1,5,1.0,0,0.000141503
moons,1,5,1.0,1,0
moons,1,5,0.5,0,1.18565e-05
moons,1,5,0.5,1,0
moons,1,5,0.25,0,2.95594e-06
moons,1,5,0.25,1,0
moons,1,5,0.125,0,0
moons,1,5,0.125,1,0
moons,1,6,4.0,0,0.000894454
moons,1,6,4.0,1,0
moons,1,6,2.0,0,0.000223864
moons,1,6,2.0,1,0
moons,1,6,1.0,0,0.000113276
moons,1,6,1.0,1,0
moons,1,6,0.5,0,0
moons,1,6,0.5,1,0
moons,1,6,0.25,0,0
moons,1,6,0.25,1,0
moons,1,6,0.125,0,8.82281e-07
moons,1,6,0.125,1,0
moons,1,7,4.0,0,0
moons,1,7,4.0,1,0.0021254
moons,1,7,2.0,0,0.000229674
moons,1,7,2.0,1,0.000532198
moons,1,7,1.0,0,0.000113392
moons,1,7,1.0,1,0.000133174
moons,1,7,0.5,0,1.42788e-05
moons,1,7,0.5,1,0
moons,1,7,0.25,0,0
moons,1,7,0.25,1,0
moons,1,7,0.125,0,0
moons,1,7,0.125,1,0
moons,1,8,4.0,0,0
moons,1,8,4.0,1,0.001221
moons,1,8,2.0,0,0
moons,1,8,2.0,1,0
moons,1,8,1.0,0,5.16742e-05
moons,1,8,1.0,1,0.000151092
moons,1,8,0.5,0,2.57017e-05
moons,1,8,0.5,1,0
moons,1,8,0.25,0,3.22109e-06
moons,1,8,0.25,1,0
moons,1,8,0.125,0,0
moons,1,8,0.125,1,0
moons,1,9,4.0,0,0.00164609
moons,1,9,4.0,1,0
moons,1,9,2.0,0,0.000205423
moons,1,9,2.0,1,0
moons,1,9,1.0,0,0.000154099
moons,1,9,1.0,1,0
moons,1,9,0.5,0,1.27765e-05
moons,1,9,0.5,1,0
moons,1,9,0.25,0,3.19421e-06
moons,1,9,0.25,1,0
moons,1,9,0.125,0,0
moons,1,9,0.125,1,0
moons,2,0,4.0,0,0.000977517
moons,2,0,4.0,1,0
moons,2,0,2.0,0,0.000250063
moons,2,0,2.0,1,0
moons,2,0,1.0,0,0
moons,2,0,1.0,1,0
moons,2,0,0.5,0,3.09506e-05
moons,2,0,0.5,1,0
moons,2,0,0.25,0,3.88039e-06
moons,2,0,0.25,1,0
moons,2,0,0.125,0,2.90505e-06
moons,2,0,0.125,1,0
moons,2,1,4.0,0,0.000856164
moons,2,1,4.0,1,0
moons,2,1,2.0,0,0
moons,2,1,2.0,1,0
moons,2,1,1.0,0,5.42241e-05
moons,2,1,1.0,1,7.32977e-05
moons,2,1,0.5,0,2.70904e-05
moons,2,1,0.5,1,0
moons,2,1,0.25,0,3.3958e-06
moons,2,1,0.25,1,0
moons,2,1,0.125,0,8.4794e-07
moons,2,1,0.125,1,2.28266e-06
moons,2,2,4.0,0,0
moons,2,2,4.0,1,0
moons,2,2,2.0,0,0.000180018
moons,2,2,2.0,1,0
moons,2,2,1.0,0,9.00009e-05
moons,2,2,1.0,1,0
moons,2,2,0.5,0,1.12459e-05
moons,2,2,0.5,1,0
moons,2,2,0.25,0,5.62011e-06
moons,2,2,0.25,1,0
moons,2,2,0.125,0,7.01644e-07
moons,2,2,0.125,1,0
moons,2,3,4.0,0,0.00207469
moons,2,3,4.0,1,0
moons,2,3,2.0,0,0
moons,2,3,2.0,1,0
moons,2,3,1.0,0,0
moons,2,3,1.0,1,0
moons,2,3,0.5,0,0
moons,2,3,0.5,1,0
moons,2,3,0.25,0,0
moons,2,3,0.25,1,1.01621e-05
moons,2,3,0.125,0,0
moons,2,3,0.125,1,0
moons,2,4,4.0,0,0
moons,2,4,4.0,1,0
moons,2,4,2.0,0,0.000589623
moons,2,4,2.0,1,0
moons,2,4,1.0,0,4.95663e-05
moons,2,4,1.0,1,0
moons,2,4,0.5,0,1.2394e-05
moons,2,4,0.5,1,0
moons,2,4,0.25,0,1.23938e-05
moons,2,4,0.25,1,0
moons,2,4,0.125,0,0
moons,2,4,0.125,1,2.24289e-06
moons,2,5,4.0,0,0.00170358
moons,2,5,4.0,1,0
moons,2,5,2.0,0,0.00042517
moons,2,5,2.0,1,0
moons,2,5,1.0,0,0
moons,2,5,1.0,1,0
moons,2,5,0.5,0,2.66085e-05
moons,2,5,0.5,1,0
moons,2,5,0.25,0,3.3248e-06
moons,2,5,0.25,1,0
moons,2,5,0.125,0,0
moons,2,5,0.125,1,0
moons,2,6,4.0,0,0.000891266
moons,2,6,4.0,1,0
moons,2,6,2.0,0,0.000436205
moons,2,6,2.0,1,0
moons,2,6,1.0,0,5.52822e-05
moons,2,6,1.0,1,0
moons,2,6,0.5,0,2.75931e-05
moons,2,6,0.5,1,0
moons,2,6,0.25,0,3.43991e-06
moons,2,6,0.25,1,0
moons,2,6,0.125,0,8.61188e-07
moons,2,6,0.125,1,0
moons,2,7,4.0,0,0.000906618
moons,2,7,4.0,1,0
moons,2,7,2.0,0,0
moons,2,7,2.0,1,0
moons,2,7,1.0,0,0.000113366
moons,2,7,1.0,1,0.000149633
moons,2,7,0.5,0,1.42345e-05
moons,2,7,0.5,1,3.72613e-05
moons,2,7,0.25,0,7.09605e-06
moons,2,7,0.25,1,0
moons,2,7,0.125,0,8.86997e-07
moons,2,7,0.125,1,0
moons,2,8,4.0,0,0
moons,2,8,4.0,1,0.00235018
moons,2,8,2.0,0,0.00042203
moons,2,8,2.0,1,0.000597729
moons,2,8,1.0,0,5.32708e-05
moons,2,8,1.0,1,0
moons,2,8,0.5,0,0
moons,2,8,0.5,1,0
moons,2,8,0.25,0,0
moons,2,8,0.25,1,0
moons,2,8,0.125,0,0
moons,2,8,0.125,1,0
moons,2,9,4.0,0,0.00235479
moons,2,9,4.0,1,0
moons,2,9,2.0,0,0.000191791
moons,2,9,2.0,1,0.000533333
moons,2,9,1.0,0,0.000145047
moons,2,9,1.0,1,0
moons,2,9,0.5,0,1.20861e-05
moons,2,9,0.5,1,0
moons,2,9,0.25,0,3.01547e-06
moons,2,9,0.25,1,0
moons,2,9,0.125,0,0
moons,2,9,0.125,1,0
moons,4,0,4.0,0,0.000709723
moons,4,0,4.0,1,0
moons,4,0,2.0,0,0.000177117
moons,4,0,2.0,1,0
moons,4,0,1.0,0,4.42791e-05
moons,4,0,1.0,1,0
moons,4,0,0.5,0,1.10599e-05
moons,4,0,0.5,1,0
moons,4,0,0.25,0,5.53269e-06
moons,4,0,0.25,1,0
moons,4,0,0.125,0,0
moons,4,0,0.125,1,0
moons,4,1,4.0,0,0
moons,4,1,4.0,1,0.00198413
moons,4,1,2.0,0,0.000787402
moons,4,1,2.0,1,0
moons,4,1,1.0,0,9.83284e-05
moons,4,1,1.0,1,0.000122699
moons,4,1,0.5,0,0
moons,4,1,0.5,1,3.08005e-05
moons,4,1,0.25,0,1.22255e-05
moons,4,1,0.25,1,7.68507e-06
moons,4,1,0.125,0,3.05639e-06
moons,4,1,0.125,1,1.92125e-06
moons,4,2,4.0,0,0.000723589
moons,4,2,4.0,1,0
moons,4,2,2.0,0,0.000181258
moons,4,2,2.0,1,0
moons,4,2,1.0,0,4.57018e-05
moons,4,2,1.0,1,0
moons,4,2,0.5,0,2.28519e-05
moons,4,2,0.5,1,0
moons,4,2,0.25,0,2.84924e-06
moons,4,2,0.25,1,0
moons,4,2,0.125,0,2.13747e-06
moons,4,2,0.125,1,0
moons,4,3,4.0,0,0.00185357
moons,4,3,4.0,1,0
moons,4,3,2.0,0,0.000230521
moons,4,3,2.0,1,0
moons,4,3,1.0,0,5.77101e-05
moons,4,3,1.0,1,0
moons,4,3,0.5,0,1.45052e-05
moons,4,3,0.5,1,0
moons,4,3,0.25,0,1.45048e-05
moons,4,3,0.25,1,0
moons,4,3,0.125,0,9.06565e-07
moons,4,3,0.125,1,0
moons,4,4,4.0,0,0.00308325
moons,4,4,4.0,1,0.00106952
moons,4,4,2.0,0,0.000250941
moons,4,4,2.0,1,0
moons,4,4,1.0,0,6.27431e-05
moons,4,4,1.0,1,6.72585e-05
moons,4,4,0.5,0,1.57791e-05
moons,4,4,0.5,1,1.68274e-05
moons,4,4,0.25,0,3.94493e-06
moons,4,4,0.25,1,4.20667e-06
moons,4,4,0.125,0,9.86228e-07
moons,4,4,0.125,1,1.05296e-06
moons,4,5,4.0,0,0
moons,4,5,4.0,1,0
moons,4,5,2.0,0,0.000503651
moons,4,5,2.0,1,0.000611434
moons,4,5,1.0,0,6.22975e-05
moons,4,5,1.0,1,0
moons,4,5,0.5,0,1.55681e-05
moons,4,5,0.5,1,0
moons,4,5,0.25,0,0
moons,4,5,0.25,1,0
moons,4,5,0.125,0,9.75913e-07
moons,4,5,0.125,1,0
moons,4,6,4.0,0,0.00082713
moons,4,6,4.0,1,0
moons,4,6,2.0,0,0
moons,4,6,2.0,1,0
moons,4,6,1.0,0,0.000102317
moons,4,6,1.0,1,6.17475e-05
moons,4,6,0.5,0,1.28654e-05
moons,4,6,0.5,1,0
moons,4,6,0.25,0,6.41455e-06
moons,4,6,0.25,1,0
moons,4,6,0.125,0,1.60333e-06
moons,4,6,0.125,1,0
moons,4,7,4.0,0,0.00167926
moons,4,7,4.0,1,0.00236967
moons,4,7,2.0,0,0
moons,4,7,2.0,1,0
moons,4,7,1.0,0,0
moons,4,7,1.0,1,0
moons,4,7,0.5,0,1.2877e-05
moons,4,7,0.5,1,0
moons,4,7,0.25,0,0
moons,4,7,0.25,1,0
moons,4,7,0.125,0,8.06897e-07
moons,4,7,0.125,1,0
moons,4,8,4.0,0,0.00285171
moons,4,8,4.0,1,0.00255102
moons,4,8,2.0,0,0.000237869
moons,4,8,2.0,1,0.000636943
moons,4,8,1.0,0,0.000117523
moons,4,8,1.0,1,7.96052e-05
moons,4,8,0.5,0,0
moons,4,8,0.5,1,0
moons,4,8,0.25,0,3.67111e-06
moons,4,8,0.25,1,0
moons,4,8,0.125,0,2.75332e-06
moons,4,8,0.125,1,0
moons,4,9,4.0,0,0.00226415
moons,4,9,4.0,1,0.00173461
moons,4,9,2.0,0,0.000385356
moons,4,9,2.0,1,0
moons,4,9,1.0,0,9.64553e-05
moons,4,9,1.0,1,0.000107486
moons,4,9,0.5,0,2.40978e-05
moons,4,9,0.5,1,2.6772e-05
moons,4,9,0.25,0,1.506e-05
moons,4,9,0.25,1,0
moons,4,9,0.125,0,1.50415e-06
moons,4,9,0.125,1,0
moons,8,0,4.0,0,0
moons,8,0,4.0,1,0
moons,8,0,2.0,0,0
moons,8,0,2.0,1,0
moons,8,0,1.0,0,0
moons,8,0,1.0,1,0
moons,8,0,0.5,0,2.62044e-05
moons,8,0,0.5,1,0
moons,8,0,0.25,0,6.54825e-06
moons,8,0,0.25,1,0
moons,8,0,0.125,0,0
moons,8,0,0.125,1,0
moons,8,1,4.0,0,0.00220264
moons,8,1,4.0,1,0
moons,8,1,2.0,0,0.000748083
moons,8,1,2.0,1,0
moons,8,1,1.0,0,4.67771e-05
moons,8,1,1.0,1,0
moons,8,1,0.5,0,1.16291e-05
moons,8,1,0.5,1,0
moons,8,1,0.25,0,5.81745e-06
moons,8,1,0.25,1,0
moons,8,1,0.125,0,0
moons,8,1,0.125,1,0
moons,8,2,4.0,0,0.020165
moons,8,2,4.0,1,0.00354191
moons,8,2,2.0,0,0.016895
moons,8,2,2.0,1,0.000303398
moons,8,2,1.0,0,0.00191939
moons,8,2,1.0,1,7.58035e-05
moons,8,2,0.5,0,4.23221e-05
moons,8,2,0.5,1,9.42596e-05
moons,8,2,0.25,0,7.07434e-06
moons,8,2,0.25,1,1.41377e-05
moons,8,2,0.125,0,2.64916e-06
moons,8,2,0.125,1,2.3596e-06
moons,8,3,4.0,0,0.00101937
moons,8,3,4.0,1,0
moons,8,3,2.0,0,0.00074129
moons,8,3,2.0,1,0
moons,8,3,1.0,0,0.000123893
moons,8,3,1.0,1,0
moons,8,3,0.5,0,3.11599e-05
moons,8,3,0.5,1,0
moons,8,3,0.25,0,7.78549e-06
moons,8,3,0.25,1,0
moons,8,3,0.125,0,5.84098e-06
moons,8,3,0.125,1,0
moons,8,4,4.0,0,0.0486258
moons,8,4,4.0,1,0.0326279
moons,8,4,2.0,0,0.00160471
moons,8,4,2.0,1,0.0184175
moons,8,4,1.0,0,0.000601564
moons,8,4,1.0,1,0.00238813
moons,8,4,0.5,0,0.000133717
moons,8,4,0.5,1,4.24448e-05
moons,8,4,0.25,0,2.92532e-05
moons,8,4,0.25,1,1.06104e-05
moons,8,4,0.125,0,7.30684e-06
moons,8,4,0.125,1,6.18498e-06
moons,8,5,4.0,0,0.00164204
moons,8,5,4.0,1,0
moons,8,5,2.0,0,0.000824572
moons,8,5,2.0,1,0.000258465
moons,8,5,1.0,0,0.00020591
moons,8,5,1.0,1,0.000129416
moons,8,5,0.5,0,3.8618e-05
moons,8,5,0.5,1,0
moons,8,5,0.25,0,1.28736e-05
moons,8,5,0.25,1,0
moons,8,5,0.125,0,2.41326e-06
moons,8,5,0.125,1,0
moons,8,6,4.0,0,0.000875657
moons,8,6,4.0,1,0.00199402
moons,8,6,2.0,0,0.000219154
moons,8,6,2.0,1,0.000248942
moons,8,6,1.0,0,0.000164582
moons,8,6,1.0,1,6.2751e-05
moons,8,6,0.5,0,1.37099e-05
moons,8,6,0.5,1,1.56946e-05
moons,8,6,0.25,0,6.86964e-06
moons,8,6,0.25,1,3.91796e-06
moons,8,6,0.125,0,8.57466e-07
moons,8,6,0.125,1,1.95884e-06
moons,8,7,4.0,0,0.0015186
moons,8,7,4.0,1,0
moons,8,7,2.0,0,0.000757432
moons,8,7,2.0,1,0
moons,8,7,1.0,0,0.00014181
moons,8,7,1.0,1,0
moons,8,7,0.5,0,1.18164e-05
moons,8,7,0.5,1,0
moons,8,7,0.25,0,5.92672e-06
moons,8,7,0.25,1,8.4386e-06
moons,8,7,0.125,0,7.40829e-07
moons,8,7,0.125,1,0
moons,8,8,4.0,0,0.00110497
moons,8,8,4.0,1,0.00101833
moons,8,8,2.0,0,0.000277393
moons,8,8,2.0,1,0.000516929
moons,8,8,1.0,0,0.00014038
moons,8,8,1.0,1,6.41272e-05
moons,8,8,0.5,0,3.50828e-05
moons,8,8,0.5,1,4.81108e-05
moons,8,8,0.25,0,8.74325e-06
moons,8,8,0.25,1,4.01718e-06
moons,8,8,0.125,0,2.18586e-06
moons,8,8,0.125,1,3.01282e-06
moons,8,9,4.0,0,0
moons,8,9,4.0,1,0.00246002
moons,8,9,2.0,0,0.000539568
moons,8,9,2.0,1,0.000308642
moons,8,9,1.0,0,4.49944e-05
moons,8,9,1.0,1,0
moons,8,9,0.5,0,1.12904e-05
moons,8,9,0.5,1,1.91909e-05
moons,8,9,0.25,0,0
moons,8,9,0.25,1,0
moons,8,9,0.125,0,3.52547e-06
moons,8,9,0.125,1,1.20218e-06
spirals,1,0,4.0,0,0.00137931
spirals,1,0,4.0,1,0
spirals,1,0,2.0,0,0.000698324
spirals,1,0,2.0,1,0.000336927
spirals,1,0,1.0,0,8.61698e-05
spirals,1,0,1.0,1,0
spirals,1,0,0.5,0,0
spirals,1,0,0.5,1,0
spirals,1,0,0.25,0,0
spirals,1,0,0.25,1,0
spirals,1,0,0.125,0,1.34734e-06
spirals,1,0,0.125,1,1.31227e-06
spirals,1,1,4.0,0,0.0026178
spirals,1,1,4.0,1,0.00398406
spirals,1,1,2.0,0,0.000993707
spirals,1,1,2.0,1,0.000672269
spirals,1,1,1.0,0,0.00016288
spirals,1,1,1.0,1,0.000168648
spirals,1,1,0.5,0,4.07266e-05
spirals,1,1,0.5,1,0
spirals,1,1,0.25,0,1.02176e-05
spirals,1,1,0.25,1,0
spirals,1,1,0.125,0,5.10529e-06
spirals,1,1,0.125,1,2.63182e-06
spirals,1,2,4.0,0,0.00242424
spirals,1,2,4.0,1,0.0140351
spirals,1,2,2.0,0,0.000306279
spirals,1,2,2.0,1,0.000296296
spirals,1,2,1.0,0,0
spirals,1,2,1.0,1,0
spirals,1,2,0.5,0,1.92808e-05
spirals,1,2,0.5,1,0
spirals,1,2,0.25,0,0
spirals,1,2,0.25,1,9.23847e-06
spirals,1,2,0.125,0,0
spirals,1,2,0.125,1,1.15487e-06
spirals,1,3,4.0,0,0.00487211
spirals,1,3,4.0,1,0.00738007
spirals,1,3,2.0,0,0.00122287
spirals,1,3,2.0,1,0.000306279
spirals,1,3,1.0,0,7.64234e-05
spirals,1,3,1.0,1,0.000229727
spirals,1,3,0.5,0,0
spirals,1,3,0.5,1,5.76613e-05
spirals,1,3,0.25,0,9.52517e-06
spirals,1,3,0.25,1,1.43945e-05
spirals,1,3,0.125,0,2.38529e-06
spirals,1,3,0.125,1,2.39898e-06
spirals,1,4,4.0,0,0.00376884
spirals,1,4,4.0,1,0.00373599
spirals,1,4,2.0,0,0
spirals,1,4,2.0,1,0.000307125
spirals,1,4,1.0,0,7.80518e-05
spirals,1,4,1.0,1,0
spirals,1,4,0.5,0,1.95122e-05
spirals,1,4,0.5,1,1.93386e-05
spirals,1,4,0.25,0,0
spirals,1,4,0.25,1,0
spirals,1,4,0.125,0,0
spirals,1,4,0.125,1,3.62257e-06
spirals,1,5,4.0,0,0.00121507
spirals,1,5,4.0,1,0.00334448
spirals,1,5,2.0,0,0.000591541
spirals,1,5,2.0,1,0.00055788
spirals,1,5,1.0,0,0.000150308
spirals,1,5,1.0,1,0
spirals,1,5,0.5,0,3.72655e-05
spirals,1,5,0.5,1,0
spirals,1,5,0.25,0,0
spirals,1,5,0.25,1,8.76762e-06
spirals,1,5,0.125,0,0
spirals,1,5,0.125,1,0
spirals,1,6,4.0,0,0.00403769
spirals,1,6,4.0,1,0.0027137
spirals,1,6,2.0,0,0.00101902
spirals,1,6,2.0,1,0.00103377
spirals,1,6,1.0,0,0.000253314
spirals,1,6,1.0,1,8.55505e-05
spirals,1,6,0.5,0,2.11761e-05
spirals,1,6,0.5,1,6.43653e-05
spirals,1,6,0.25,0,5.28614e-06
spirals,1,6,0.25,1,1.07097e-05
spirals,1,6,0.125,0,5.29479e-06
spirals,1,6,0.125,1,0
spirals,1,7,4.0,0,0.00248756
spirals,1,7,4.0,1,0.00239808
spirals,1,7,2.0,0,0.000616523
spirals,1,7,2.0,1,0
spirals,1,7,1.0,0,7.84314e-05
spirals,1,7,1.0,1,7.43771e-05
spirals,1,7,0.5,0,0
spirals,1,7,0.5,1,0
spirals,1,7,0.25,0,4.87976e-06
spirals,1,7,0.25,1,0
spirals,1,7,0.125,0,0
spirals,1,7,0.125,1,2.32033e-06
spirals,1,8,4.0,0,0
spirals,1,8,4.0,1,0.00136426
spirals,1,8,2.0,0,0.000986842
spirals,1,8,2.0,1,0.000678887
spirals,1,8,1.0,0,0
spirals,1,8,1.0,1,0.000170097
spirals,1,8,0.5,0,4.07581e-05
spirals,1,8,0.5,1,0
spirals,1,8,0.25,0,5.11274e-06
spirals,1,8,0.25,1,5.31434e-06
spirals,1,8,0.125,0,0
spirals,1,8,0.125,1,5.31041e-06
spirals,1,9,4.0,0,0.0012285
spirals,1,9,4.0,1,0.00121951
spirals,1,9,2.0,0,0.00059988
spirals,1,9,2.0,1,0.000608273
spirals,1,9,1.0,0,0.000298018
spirals,1,9,1.0,1,0.000226929
spirals,1,9,0.5,0,0
spirals,1,9,0.5,1,5.68979e-05
spirals,1,9,0.25,0,0
spirals,1,9,0.25,1,0
spirals,1,9,0.125,0,1.17129e-06
spirals,1,9,0.125,1,1.18383e-06
spirals,2,0,4.0,0,0
spirals,2,0,4.0,1,0.0104478
spirals,2,0,2.0,0,0
spirals,2,0,2.0,1,0.00112275
spirals,2,0,1.0,0,0.000274499
spirals,2,0,1.0,1,0
spirals,2,0,0.5,0,4.57771e-05
spirals,2,0,0.5,1,0
spirals,2,0,0.25,0,1.14251e-05
spirals,2,0,0.25,1,0
spirals,2,0,0.125,0,2.85876e-06
spirals,2,0,0.125,1,4.40924e-06
spirals,2,1,4.0,0,0.00761035
spirals,2,1,4.0,1,0.00629921
spirals,2,1,2.0,0,0.000740466
spirals,2,1,2.0,1,0.000393236
spirals,2,1,1.0,0,0.000185202
spirals,2,1,1.0,1,0
spirals,2,1,0.5,0,4.62995e-05
spirals,2,1,0.5,1,4.91316e-05
spirals,2,1,0.25,0,0
spirals,2,1,0.25,1,1.22837e-05
spirals,2,1,0.125,0,0
spirals,2,1,0.125,1,3.07059e-06
spirals,2,2,4.0,0,0
spirals,2,2,4.0,1,0
spirals,2,2,2.0,0,0.000897666
spirals,2,2,2.0,1,0.000891266
spirals,2,2,1.0,0,7.45045e-05
spirals,2,2,1.0,1,0
spirals,2,2,0.5,0,0
spirals,2,2,0.5,1,0
spirals,2,2,0.25,0,9.34269e-06
spirals,2,2,0.25,1,0
spirals,2,2,0.125,0,1.16982e-06
spirals,2,2,0.125,1,2.3035e-06
spirals,2,3,4.0,0,0.00103842
spirals,2,3,4.0,1,0.00453515
spirals,2,3,2.0,0,0.000513215
spirals,2,3,2.0,1,0.00056101
