dataset,depth,seed,factor,cls,p
moons,1,0,4.0,0,0.0038059
moons,1,0,4.0,1,0
moons,1,0,2.0,0,0.000487924
moons,1,0,2.0,1,0.00059755
moons,1,0,1.0,0,0
moons,1,0,1.0,1,0
moons,1,0,0.5,0,3.03486e-05
moons,1,0,0.5,1,0
moons,1,0,0.25,0,3.80555e-06
moons,1,0,0.25,1,9.37137e-06
moons,1,0,0.125,0,1.90275e-06
moons,1,0,0.125,1,0
moons,1,1,4.0,0,0.00170068
moons,1,1,4.0,1,0.00203252
moons,1,1,2.0,0,0.000436777
moons,1,1,2.0,1,0
moons,1,1,1.0,0,0
moons,1,1,1.0,1,0
moons,1,1,0.5,0,2.71297e-05
moons,1,1,0.5,1,3.2281e-05
moons,1,1,0.25,0,6.78265e-06
moons,1,1,0.25,1,0
moons,1,1,0.125,0,8.466e-07
moons,1,1,0.125,1,0
moons,2,0,4.0,0,0.000977517
moons,2,0,4.0,1,0
moons,2,0,2.0,0,0.000250063
moons,2,0,2.0,1,0
moons,2,0,1.0,0,0
moons,2,0,1.0,1,0
moons,2,0,0.5,0,3.09506e-05
moons,2,0,0.5,1,0
moons,2,0,0.25,0,3.88039e-06
moons,2,0,0.25,1,0
moons,2,0,0.125,0,2.90505e-06
moons,2,0,0.125,1,0
moons,2,1,4.0,0,0.000856164
moons,2,1,4.0,1,0
moons,2,1,2.0,0,0
moons,2,1,2.0,1,0
moons,2,1,1.0,0,5.42241e-05
moons,2,1,1.0,1,7.32977e-05
moons,2,1,0.5,0,2.70904e-05
moons,2,1,0.5,1,0
moons,2,1,0.25,0,3.3958e-06
moons,2,1,0.25,1,0
moons,2,1,0.125,0,8.4794e-07
moons,2,1,0.125,1,2.28266e-06
moons,4,0,4.0,0,0.000709723
moons,4,0,4.0,1,0
moons,4,0,2.0,0,0.000177117
moons,4,0,2.0,1,0
moons,4,0,1.0,0,4.42791e-05
moons,4,0,1.0,1,0
moons,4,0,0.5,0,1.10599e-05
moons,4,0,0.5,1,0
moons,4,0,0.25,0,5.53269e-06
moons,4,0,0.25,1,0
moons,4,0,0.125,0,0
moons,4,0,0.125,1,0
moons,4,1,4.0,0,0
moons,4,1,4.0,1,0.00198413
moons,4,1,2.0,0,0.000787402
moons,4,1,2.0,1,0
moons,4,1,1.0,0,9.83284e-05
moons,4,1,1.0,1,0.000122699
moons,4,1,0.5,0,0
moons,4,1,0.5,1,3.08005e-05
moons,4,1,0.25,0,1.22255e-05
moons,4,1,0.25,1,7.68507e-06
moons,4,1,0.125,0,3.05639e-06
moons,4,1,0.125,1,1.92125e-06
moons,8,0,4.0,0,0
moons,8,0,4.0,1,0
moons,8,0,2.0,0,0
moons,8,0,2.0,1,0
moons,8,0,1.0,0,0
moons,8,0,1.0,1,0
moons,8,0,0.5,0,2.62044e-05
moons,8,0,0.5,1,0
moons,8,0,0.25,0,6.54825e-06
moons,8,0,0.25,1,0
moons,8,0,0.125,0,0
moons,8,0,0.125,1,0
moons,8,1,4.0,0,0.00220264
moons,8,1,4.0,1,0
moons,8,1,2.0,0,0.000748083
moons,8,1,2.0,1,0
moons,8,1,1.0,0,4.67771e-05
moons,8,1,1.0,1,0
moons,8,1,0.5,0,1.16291e-05
moons,8,1,0.5,1,0
moons,8,1,0.25,0,5.81745e-06
moons,8,1,0.25,1,0
moons,8,1,0.125,0,0
moons,8,1,0.125,1,0
